satellite,x_km,y_km,z_km
ARIANE_2_DEB_047,-6459.772,12770.28,1912.5592
ARIANE_2_DEB_048,221.5017,-8514.83,-6423.1245
ARIANE_2_DEB_049,8398.628,-1881.7836,10567.108
ARIANE_2_DEB_050,-330.76483,-7405.7456,-6055.602
ARIANE_2_DEB_051,9468.596,-7037.7617,7213.3765
ARIANE_2_R-B_001,-8153.0884,3230.3396,-7864.9966
ARIANE_2_R-B_002,-8271.587,4552.3223,-7302.5737
ARIANE_2_R-B_003,-8535.632,3744.3438,-8473.198
ARIANE_2_R-B_004,-7659.759,3553.4329,-7260.1597
ARIANE_3_DEB_(SYLDA)_001,-5999.383,12149.689,2051.909
ARIANE_3_DEB_001,7752.528,-9852.35,2760.1807
ARIANE_3_DEB_002,2286.6003,-9293.253,-4420.865
ARIANE_3_DEB_003,-9122.202,5563.076,-7666.3345
ARIANE_3_DEB_004,8334.768,-3408.6814,8959.788
ARIANE_3_DEB_005,8961.22,-11201.911,3540.8416
ARIANE_3_DEB_006,6236.768,-3022.2524,6334.054
ARIANE_3_DEB_007,9875.87,-7837.7812,6992.691
ARIANE_3_DEB_008,1853.397,6448.932,9233.565
ARIANE_3_DEB_009,3376.2266,5033.8457,10232.804
ARIANE_3_DEB_010,8683.0205,-2927.6807,9881.687
ARIANE_3_DEB_011,-8922.185,9744.762,-3170.6812
ARIANE_3_DEB_012,10622.332,-8565.279,7328.4126
ARIANE_3_DEB_013,-5460.247,3910.5847,-4074.5366
ARIANE_3_DEB_014,-3069.1528,-131.13036,-4510.8716
ARIANE_3_DEB_015,-8267.561,12187.108,-540.6717
ARIANE_3_DEB_016,-2851.848,-5523.7314,-8027.4424
ARIANE_3_DEB_017,10493.188,-10472.694,5844.0273
ARIANE_3_DEB_018,-3616.1929,11546.277,4857.592
ARIANE_3_DEB_019,-9372.03,7908.5684,-5362.9814
ARIANE_3_DEB___001,8300.708,-11825.31,2041.4276
ARIANE_3_R-B_001,9814.898,-10781.18,4738.9287
ARIANE_3_R-B_002,2827.6216,-8308.153,-3262.127
ARIANE_3_R-B_003,7469.1646,-12024.513,1145.1155
ARIANE_3_R-B_004,-5951.26,11975.587,1961.8265
ARIANE_40+3_R-B_001,-841.31866,-498.89474,-2193.2285
ARIANE_40+_R-B_001,2671.8545,1862.9354,6224.533
ARIANE_42L+3_R-B_001,-1605.1768,-1912.5139,-4197.0854
ARIANE_42L+3_R-B_002,10814.411,-8344.477,7839.003
ARIANE_42L+3_R-B_003,6392.5757,-12212.8,-575.5561
ARIANE_42L_R-B_001,-6721.1636,-408.88083,-8912.68
ARIANE_42L_R-B_002,-6832.507,3073.1516,-6476.7876
ARIANE_42L_R-B_003,-3653.0723,-6149.247,-8756.498
ARIANE_42P+3_DEB_001,6324.977,-10886.211,185.81384
ARIANE_42P+3_R-B_001,6607.4297,-10617.481,587.5131
ARIANE_42P+_DEB_001,8285.328,-5548.9453,6917.187
ARIANE_42P+_DEB_002,-8077.5806,8857.554,-2925.1548
ARIANE_42P+_DEB_003,-4186.996,10237.375,3117.3413
ARIANE_42P+_DEB_004,-6913.739,2495.2854,-7165.0
ARIANE_42P+_DEB_005,5344.631,1759.7988,9940.468
ARIANE_42P+_DEB_006,-7506.091,9527.994,-1963.6475
ARIANE_42P+_DEB_007,8657.238,-2922.3403,9852.545
ARIANE_42P+_DEB_008,-8551.272,10482.17,-2345.9958
ARIANE_42P+_DEB_009,-8793.003,10128.6,-2889.5967
ARIANE_42P+_DEB_010,-8647.585,5296.3745,-6815.5947
ARIANE_42P+_DEB_011,7873.2715,-6688.498,5309.9375
ARIANE_42P+_DEB_012,3609.6196,3936.1492,9628.194
ARIANE_42P+_DEB_013,-4678.502,9390.657,1947.2948
ARIANE_42P+_DEB_014,-8969.39,9270.027,-3533.8826
ARIANE_42P+_DEB_015,-5590.8154,-2098.093,-8686.969
ARIANE_42P_DEB_001,-1324.4242,4210.208,2218.6055
ARIANE_42P_DEB_002,4020.0984,177.55118,6387.216
ARIANE_42P_DEB_003,4702.7974,-5268.3975,1824.0635
ARIANE_42P_DEB_004,3706.485,-5647.367,-385.00833
ARIANE_42P_DEB_005,-4143.7007,4578.656,-1761.3256
ARIANE_42P_DEB_006,733.0093,-295.46933,351.8949
ARIANE_42P_DEB_007,-4287.2,5607.95,-469.2102
ARIANE_42P_DEB_008,-4620.292,1314.2863,-5545.49
ARIANE_42P_DEB_009,-49.60117,-2199.7502,-2997.6375
ARIANE_42P_DEB___001,-4778.006,1930.9642,-5079.0083
ARIANE_42P_R-B_001,-5800.3066,6011.0894,-2516.3677
ARIANE_42P_R-B_002,363.20938,1896.4865,2848.7327
ARIANE_42P_R-B_003,6458.253,-5507.4985,4273.013
ARIANE_44L+3_DEB_(SPELDA_001,8928.587,-9423.678,4620.1084
ARIANE_44L+3_R-B_001,-84.843254,-4297.7256,-4365.2686
